date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:38	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Mar%202025%2010:34:37%20GMT	https://gettrumpmemes.com/robots.txt		(from )
11:34:38	60422/60422	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2010:34:37%20GMT	https://gettrumpmemes.com/	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/index.html	(from )
11:34:39	7772/7772	---MCZ	200	added ('OK')	text/css	etag:W/%221e5c-62d40cc4cb540%22	https://gettrumpmemes.com/css/normalize.css	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/css/normalize.css	(from https://gettrumpmemes.com/)
11:34:39	38613/38613	---MCZ	200	added ('OK')	text/css	etag:W/%2296d5-62d40cc4cb540%22	https://gettrumpmemes.com/css/components.css	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/css/components.css	(from https://gettrumpmemes.com/)
11:34:39	169150/169150	---MCZ	200	added ('OK')	text/css	etag:W/%22294be-62d40cc4cb540%22	https://gettrumpmemes.com/css/relume-template---sept-20-ecece4197fc38.css	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/css/relume-template---sept-20-ecece4197fc38.css	(from https://gettrumpmemes.com/)
11:34:39	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/gettrumpmemes/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://gettrumpmemes.com/)
11:34:40	21393/21393	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2002%20Mar%202025%2010:34:39%20GMT	https://use.typekit.net/tkq1swc.js	C:/My%20Web%20Sites/gettrumpmemes/use.typekit.net/tkq1swc.js	(from https://gettrumpmemes.com/)
11:34:40	5850/5850	---M--	200	added ('OK')	image/png	etag:%2216da-62d40cc4cb540%22	https://gettrumpmemes.com/images/favicon.png	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/images/favicon.png	(from https://gettrumpmemes.com/)
11:34:40	111544/111544	---M--	200	added ('OK')	image/png	etag:%221b3b8-62d40cc4cb540%22	https://gettrumpmemes.com/images/webclip.png	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/images/webclip.png	(from https://gettrumpmemes.com/)
11:34:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2002%20Mar%202025%2010:34:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/gettrumpmemes/www.googletagmanager.com/gtm.75445.delayed	(from https://gettrumpmemes.com/)
11:34:41	15005/15005	---M-Z	200	added ('OK')	application/javascript	etag:W/%223a9d-Jrr5j8UmaL9VPZw7V3JahfbsQ6c%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-copyclip@1/copyclip.js	C:/My%20Web%20Sites/gettrumpmemes/cdn.jsdelivr.net/npm/@finsweet/attributes-copyclip@1/copyclip.js	(from https://gettrumpmemes.com/)
11:34:41	10364/10364	---M--	200	added ('OK')	image/webp	etag:%22287c-62d40cc4cb540%22	https://gettrumpmemes.com/images/T-Meme-Logo_1.webp	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/images/T-Meme-Logo_1.webp	(from https://gettrumpmemes.com/)
11:34:42	23487/23487	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2018:09:49%20GMT	https://gettrumpmemes.com/contact-us	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/contact-us.html	(from https://gettrumpmemes.com/)
11:34:42	57864/57864	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2018:09:49%20GMT	https://gettrumpmemes.com/privacy	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/privacy.html	(from https://gettrumpmemes.com/)
11:34:42	33878/33878	---M--	200	added ('OK')	image/webp	etag:%228456-62d40cc4cb540%22	https://gettrumpmemes.com/images/T-Fight-Figure-3_1T-Fight-Figure-3.webp	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/images/T-Fight-Figure-3_1T-Fight-Figure-3.webp	(from https://gettrumpmemes.com/)
11:34:42	60379/60379	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2018:09:49%20GMT	https://gettrumpmemes.com/terms	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/terms.html	(from https://gettrumpmemes.com/)
11:34:42	9934/9934	---M--	200	added ('OK')	image/webp	etag:%2226ce-62d40cc4cb540%22	https://gettrumpmemes.com/images/trump-fight-card-in-circle_1.webp	C:/My%20Web%20Sites/gettrumpmemes/gettrumpmemes.com/images/trump-fight-card-in-circle_1.webp	(from https://gettrumpmemes.com/)
