date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:07	328084/328084	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2015:58:27%20GMT	https://docs.goodcrypto.app/	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/index.html	(from )
17:00:07	126/126	---MCZ	200	added ('OK')	text/plain	date:Sun,%2025%20May%202025%2016:00:05%20GMT	https://docs.goodcrypto.app/robots.txt		(from )
17:00:08	85459/85459	---MCZ	200	added ('OK')	text/css	etag:W/%228771f60fa54af4248867528f653ed24d%22	https://static.gitbook.com/_next/static/css/51d34edee75a6bda.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/51d34edee75a6bda.css	(from https://docs.goodcrypto.app/)
17:00:08	50367/50367	---MCZ	200	added ('OK')	text/css	etag:W/%22037cb3715083b7d9b9971c486910e566%22	https://static.gitbook.com/_next/static/css/ce80118b5e9525b5.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/ce80118b5e9525b5.css	(from https://docs.goodcrypto.app/)
17:00:08	101972/101972	---MCZ	200	added ('OK')	text/css	etag:W/%2299a2decf958321db135cd6cee34eb445%22	https://static.gitbook.com/_next/static/css/3fabe74bb705cbb5.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/3fabe74bb705cbb5.css	(from https://docs.goodcrypto.app/)
17:00:09	111/111	---MCZ	200	added ('OK')	text/css	etag:W/%22afaea527776731aece645ee2166afe2b%22	https://static.gitbook.com/_next/static/css/95b358fb5c9305a3.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/95b358fb5c9305a3.css	(from https://docs.goodcrypto.app/)
17:00:09	1943/1943	---MCZ	200	added ('OK')	text/css	etag:W/%229eb216746da6ef19877f556e4da47e76%22	https://static.gitbook.com/_next/static/css/bc859a4cd35f3fe5.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/bc859a4cd35f3fe5.css	(from https://docs.goodcrypto.app/)
17:00:09	5568/5568	---MCZ	200	added ('OK')	text/css	etag:W/%22ccaf14afc3a76a9061d8caa24402c598%22	https://static.gitbook.com/_next/static/css/44b2f92f2be025d7.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/44b2f92f2be025d7.css	(from https://docs.goodcrypto.app/)
17:00:09	28533/28533	---MCZ	200	added ('OK')	text/css	etag:W/%22e29f1e579f1f439a2d679cc76a27f6bb%22	https://static.gitbook.com/_next/static/css/89f0191abc1ad313.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/89f0191abc1ad313.css	(from https://docs.goodcrypto.app/)
17:00:09	180672/180672	---MCZ	200	added ('OK')	text/css	etag:W/%229d16a2a88f056ffd579685c432a80479%22	https://static.gitbook.com/_next/static/css/ebd5a08666f5847b.css	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/css/ebd5a08666f5847b.css	(from https://docs.goodcrypto.app/)
